Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Price,Total_Sales,City,Gender
ORD0001,2025-05-21,CUST001,Office Chair,Furniture,2,7500,15000,Mumbai,Male
ORD0002,2025-10-07,CUST022,Office Chair,Furniture,1,7500,7500,Hyderabad,Female
ORD0003,2025-04-22,CUST003,Laptop,Electronics,2,65000,130000,Hyderabad,Male
ORD0004,2025-11-29,CUST023,Desk,Furniture,5,6000,30000,Bangalore,Male
ORD0005,2025-01-04,CUST009,Dress,Clothing,2,2200,4400,Chennai,Female
ORD0006,2025-04-21,CUST005,Jacket,Clothing,3,3500,10500,Pune,Male
ORD0007,2025-06-26,CUST012,T-Shirt,Clothing,5,800,4000,Delhi,Male
ORD0008,2025-03-05,CUST018,Sofa,Furniture,4,25000,100000,Pune,Female
ORD0009,2025-07-05,CUST029,Table,Furniture,5,9000,45000,Mumbai,Male
ORD0010,2025-05-29,CUST025,Smartphone,Electronics,1,30000,30000,Mumbai,Male
ORD0011,2025-11-22,CUST015,Jacket,Clothing,3,3500,10500,Mumbai,Female
ORD0012,2025-05-17,CUST022,Jeans,Clothing,1,1800,1800,Hyderabad,Male
ORD0013,2025-08-25,CUST006,Desk,Furniture,4,6000,24000,Delhi,Male
ORD0014,2025-01-29,CUST027,Bookshelf,Furniture,2,4500,9000,Pune,Female
ORD0015,2025-04-19,CUST003,Jacket,Clothing,5,3500,17500,Chennai,Female
ORD0016,2025-11-26,CUST013,Keyboard,Electronics,4,1800,7200,Mumbai,Female
ORD0017,2025-10-15,CUST024,Smartphone,Electronics,5,30000,150000,Delhi,Female
ORD0018,2025-04-23,CUST012,Sofa,Furniture,2,25000,50000,Hyderabad,Female
ORD0019,2025-02-26,CUST028,Laptop,Electronics,2,65000,130000,Chennai,Male
ORD0020,2025-02-02,CUST020,Sofa,Furniture,4,25000,100000,Bangalore,Female
ORD0021,2025-01-06,CUST018,Bookshelf,Furniture,1,4500,4500,Chennai,Female
ORD0022,2025-05-31,CUST004,Bookshelf,Furniture,4,4500,18000,Mumbai,Female
ORD0023,2025-04-02,CUST017,Headphones,Electronics,5,3000,15000,Pune,Female
ORD0024,2025-04-12,CUST020,Table,Furniture,2,9000,18000,Delhi,Male
ORD0025,2025-01-01,CUST030,Table,Furniture,5,9000,45000,Delhi,Female
ORD0026,2025-07-05,CUST030,Laptop,Electronics,3,65000,195000,Mumbai,Male
ORD0027,2025-02-13,CUST003,Monitor,Electronics,4,12000,48000,Pune,Male
ORD0028,2025-03-26,CUST018,Keyboard,Electronics,3,1800,5400,Hyderabad,Female
ORD0029,2025-12-20,CUST025,Monitor,Electronics,2,12000,24000,Chennai,Female
ORD0030,2025-09-22,CUST015,Jacket,Clothing,4,3500,14000,Pune,Male
ORD0031,2025-01-11,CUST011,Laptop,Electronics,5,65000,325000,Hyderabad,Male
ORD0032,2025-02-06,CUST001,Desk,Furniture,1,6000,6000,Mumbai,Male
